id,session_num,Clip Time mentioned (h:mm:ss),Cumulative Time mentioned (h:mm:ss),Atlascine-location,Location,Scale
1,0,0:00:34,0:00:34,"Montreal, Canada",Montreal; Canada,city / area
2,,0:01:16,0:01:16,"Montreal, Canada",Montreal; Canada,city / area
3,,0:01:26,0:01:26,"Alberta, Canada",Alberta; Canada,region
4,,0:01:29,0:01:29,Rwanda,Rwanda,country
5,,0:04:23,0:04:23,Rwanda,Rwanda,country
6,,0:04:44,0:04:44,Canada,Canada,country
7,,0:04:45,0:04:45,"Ottawa, Canada",Ottawa; Canada,city / area
8,,0:05:25,0:05:25,Burundi,Burundi,country
9,,0:05:30,0:05:30,Rwanda,Rwanda,country
10,,0:05:39,0:05:39,Rwanda,Rwanda,country
11,,0:05:46,0:05:46,"Bugesera, Rwanda",Bugesera; Rwanda,region
12,,0:05:54,0:05:54,"Ruhengeri, Rwanda",Ruhengeri; Rwanda,region
13,,0:06:11,0:06:11,"Ruhengeri, Rwanda",Ruhengeri; Rwanda,region
14,,0:06:19,0:06:19,Rwanda,Rwanda,country
15,,0:06:25,0:06:25,"Ruhengeri, Rwanda",Ruhengeri; Rwanda,region
16,,0:06:30,0:06:30,"Bugesera, Rwanda",Bugesera; Rwanda,region
17,,0:07:11,0:07:11,Rwanda,Rwanda,country
18,,0:07:13,0:07:13,Rwanda,Rwanda,country
19,,0:07:44,0:07:44,Burundi,Burundi,country
20,,0:07:46,0:07:46,"Bugesera, Rwanda",Bugesera; Rwanda,region
21,,0:07:49,0:07:49,Burundi,Burundi,country
22,,0:07:50,0:07:50,Rwanda,Rwanda,country
23,,0:08:00,0:08:00,"Bugesera, Rwanda",Bugesera; Rwanda,region
24,,0:08:07,0:08:07,"Kigali, Rwanda",Kigali; Rwanda,city / area
25,,0:08:44,0:08:44,Burundi,Burundi,country
26,,0:08:55,0:08:55,Burundi,Burundi,country
27,,0:10:32,0:10:32,Rwanda,Rwanda,country
28,,0:10:34,0:10:34,Burundi,Burundi,country
29,,0:11:10,0:11:10,Uganda,Uganda,country
30,,0:11:19,0:11:19,Rwanda,Rwanda,country
31,,0:11:34,0:11:34,Uganda,Uganda,country
32,,0:14:16,0:14:16,Canada,Canada,country
33,,0:17:07,0:17:07,Africa,Africa,continent
34,,0:17:10,0:17:10,Rwanda,Rwanda,country
35,,0:20:13,0:20:13,Uganda,Uganda,country
36,,0:20:39,0:20:39,Congo,Congo,country
37,,0:23:02,0:23:02,Burundi,Burundi,country
38,,0:23:43,0:23:43,Burundi,Burundi,country
39,,0:24:23,0:24:23,Burundi,Burundi,country
40,,0:24:24,0:24:24,Rwanda,Rwanda,country
41,,0:24:36,0:24:36,Rwanda,Rwanda,country
42,,0:24:49,0:24:49,"Kigali, Rwanda",Kigali; Rwanda,city / area
43,,0:25:14,0:25:14,Burundi,Burundi,country
44,,0:26:28,0:26:28,"Montreal, Canada",Montreal; Canada,city / area
45,,0:26:56,0:26:56,Rwanda,Rwanda,country
46,,0:27:23,0:27:23,Canada,Canada,country
47,,0:28:25,0:28:25,Canada,Canada,country
48,,0:29:07,0:29:07,Canada,Canada,country
49,,0:30:03,0:30:03,"Quebec, Canada",Quebec; Canada,region
50,,0:37:35,0:37:35,"Quebec, Canada",Quebec; Canada,region
51,,0:37:39,0:37:39,Europe,Europe,continent
52,,0:48:33,0:48:33,"Bujumbura, Burundi",Bujumbura; Burundi,city / area
53,,0:48:44,0:48:44,Burundi,Burundi,country
54,,0:55:06,0:55:06,Burundi,Burundi,country
55,,0:57:30,0:57:30,Burundi,Burundi,country
56,,0:58:22,0:58:22,Rwanda,Rwanda,country
57,,0:58:23,0:58:23,Rwanda,Rwanda,country
58,,0:58:25,0:58:25,Rwanda,Rwanda,country
