id,Session #,Story units #,time_clip_start,time_clip_end,Time start (h:mm:ss),Time end (h:mm:ss),Atlascine-location,location,Scale,Journey
1,1,1,0,0,0:00:00,0:00:15,_end,none,,
2,1,2,,,0:00:15,0:00:40,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area,
3,1,3,,,0:00:40,0:00:45,_end,none,,
4,1,4,,,0:00:45,0:01:20,Rwanda,Rwanda,country,
5,1,5,,,0:01:20,0:01:30,Rwanda,Rwanda,country,
6,1,6,,,0:01:30,0:02:10,Rwanda,Rwanda,country,
7,1,7,,,0:02:10,0:02:30,Rwanda,Rwanda,country,
8,1,8,,,0:02:30,0:06:00,"Karama, Rwanda",Karama; Rwanda,local,
9,1,9,,,0:06:00,0:06:05,_end,none,,
10,1,10,,,0:06:05,0:07:45,"Rukondo, Rwanda",Rukondo; Rwanda,local,
11,1,11,,,0:07:45,0:10:45,"Karama, Rwanda",Karama; Rwanda,local,
12,1,12,,,0:10:45,0:14:15,"Rukondo, Rwanda",Rukondo; Rwanda,local,
13,1,13,,,0:14:15,0:15:00,_end,none,,
14,1,14,,,0:15:00,0:15:30,"Karama, Rwanda",Karama; Rwanda,local,
15,1,15,,,0:15:30,0:16:50,"Rukondo, Rwanda",Rukondo; Rwanda,local,
16,1,16,,,0:16:50,0:17:30,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,
17,1,17,,,0:17:30,0:18:00,_end,none,,
18,1,18,,,0:18:00,0:18:45,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,
19,1,19,,,0:18:45,0:20:20,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,
20,1,20,,,0:20:20,0:20:30,"Karama, Rwanda",Karama; Rwanda,local,
21,1,21,,,0:20:30,0:20:45,"Louvain, Belgium",Louvain; Belgium,very local,
22,1,22,,,0:20:45,0:22:50,"Groupe scholaire de Butare, Rwanda; Louvain, Belgium",Groupe scholaire de Butare; Rwanda; Louvain; Belgium,very local,Journey 1
23,1,23,,,0:22:50,0:23:10,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,
24,1,24,,,0:23:10,0:24:00,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,
25,1,25,,,0:24:00,0:26:50,"Rukondo, Rwanda",Rukondo; Rwanda,local,
26,1,26,,,0:26:50,0:27:40,"Karama, Rwanda",Karama; Rwanda,local,
27,1,27,,,0:27:40,0:31:45,"Rukondo, Rwanda",Rukondo; Rwanda,local,
28,1,28,,,0:31:45,0:32:10,_end,none,,
29,1,29,,,0:32:10,0:33:30,"Gikongoro, Rwanda",Gikongoro; Rwanda,region,
30,1,30,,,0:33:30,0:35:00,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,
31,1,31,,,0:35:00,0:35:50,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,
32,1,32,,,0:35:50,0:36:10,_end,none,,
33,1,33,,,0:36:10,0:36:50,"Gikongoro, Rwanda",Gikongoro; Rwanda,region,
34,1,34,,,0:36:50,0:38:00,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,
35,1,35,,,0:38:00,0:38:10,Belgium,Belgium,country,
36,1,36,,,0:38:10,0:40:30,Belgium,Belgium,country,
37,1,37,,,0:40:30,0:40:50,Belgium,Belgium,country,
38,1,38,,,0:40:50,0:42:45,Belgium,Belgium,country,
39,1,39,,,0:42:45,0:45:00,Belgium,Belgium,country,
40,1,40,,,0:45:00,0:45:30,Belgium,Belgium,country,
41,1,41,,,0:45:30,0:47:10,Belgium,Belgium,country,
42,1,42,,,0:47:10,0:47:20,_end,none,,
43,1,43,,,0:47:20,0:47:45,Belgium,Belgium,country,
44,1,44,,,0:47:45,0:51:15,"Rukondo, Rwanda",Rukondo; Rwanda,local,
45,1,45,,,0:51:15,0:51:30,Belgium,Belgium,country,
46,1,46,,,0:51:30,0:53:15,"l'université Nationale du Rwanda, Butare, Rwanda",l'université Nationale du Rwanda; Butare; Rwanda,very local,
47,1,47,,,0:53:15,0:53:20,Canada,Canada,country,
48,1,48,,,0:53:20,0:53:40,Rwanda; Canada,Canada,country,journey 2
49,1,49,,,0:53:40,0:57:15,"l'université Nationale du Rwanda, Butare, Rwanda",l'université Nationale du Rwanda; Butare; Rwanda,very local,
50,1,50,,,0:57:15,0:57:30,"l'université Nationale du Rwanda, Butare, Rwanda",l'université Nationale du Rwanda; Butare; Rwanda,very local,
51,1,51,,,0:57:30,1:02:00,"Butare, Rwanda",Butare; Rwanda,city / area,
52,1,52,,,1:02:00,1:04:20,"Kinshasa, Democratic Republic of Congo",Kinshasa; Democratic Republic of Congo,city / area,
53,1,53,,,1:04:20,1:06:00,"Kinshasa, Democratic Republic of Congo",Kinshasa; Democratic Republic of Congo,city / area,
54,1,54,,,1:06:15,1:06:35,Canada,Canada,country,
55,1,55,,,1:06:35,1:07:30,"Montreal, Canada",Montreal; Quebec,city / area,
