id,Session #,Story unit #,time_clip_start,time_clip_end,Clip Time start (h:mm:ss),Clip Time end (h:mm:ss),Atlascine-location,Location,Scale,Journey
1,1,1,0,0,0:00:00,0:00:15,_end,none,,
2,1,2,,,0:00:15,0:00:22,"Montreal, Canada",Montreal; Canada,city / area,
3,1,3,,,0:00:22,0:00:24,_end,unknown,,
4,1,4,,,0:00:24,0:00:30,"Montreal, Canada",Montreal; Canada,city / area,
5,1,5,,,0:00:30,0:00:41,_end,none,,
6,1,6,,,0:00:41,0:02:43,"Montreal, Canada",Montreal; Canada,city / area,
7,1,7,,,0:02:43,0:02:50,"Montreal, Canada",Montreal; Canada,city / area,
8,1,8,,,0:02:50,0:03:23,_end,none,,
9,1,9,,,0:03:23,0:03:29,_end,none,,
10,1,10,,,0:03:29,0:05:05,Haiti,Haiti; Montreal,country,
11,,,,,0:03:29,0:05:05,"Montreal, Canada",,city / area,
12,1,11,,,0:05:05,0:05:11,Haiti,Haiti,country,
13,1,12,,,0:05:11,0:10:03,Haiti,Haiti,country,
14,1,13,,,0:10:03,0:10:12,Haiti,Haiti,country,
15,1,14,,,0:10:12,0:13:20,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,
16,1,15,,,0:13:20,0:13:30,_end,none,,
17,1,16,,,0:13:30,0:14:02,Haiti,Canada; Haiti,country,
18,,,,,0:13:30,0:14:02,Canada,,country,
19,1,17,,,0:14:02,0:14:26,Haiti,Haiti,country,
20,1,18,,,0:14:26,0:16:01,"Quebec, Canada",Quebec; Canada,region,
21,1,19,,,0:16:01,0:16:58,"Montreal, Canada",Montreal; Canada,city / area,
22,1,20,,,0:16:58,0:17:50,_end,none,,
23,1,21,,,0:17:50,0:18:02,"Montreal, Canada",Montreal; Canada,city / area,
24,1,22,,,0:18:02,0:18:42,_end,none,,
25,1,23,,,0:18:42,0:19:40,_end,none,,
26,1,24,,,0:19:40,0:19:58,_end,none,,
27,1,25,,,0:19:58,0:21:00,_end,none,,
28,1,26,,,0:21:00,0:24:05,Haiti,Haiti,country,
29,1,27,,,0:24:05,0:24:50,_end,none,,
30,1,28,,,0:24:50,0:27:05,Haiti,Haiti,country,
31,1,29,,,0:27:05,0:27:30,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
32,1,30,,,0:27:30,0:29:46,_end,none,,
33,1,31,,,0:29:46,0:30:06,Haiti,Haiti,country,
34,1,32,,,0:30:06,0:30:18,Haiti,Haiti,country,
35,1,33,,,0:30:18,0:30:52,Haiti,Haiti,country,
36,1,34,,,0:30:52,0:31:01,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
37,1,35,,,0:31:01,0:32:55,"Port-au-Prince, Haiti",Port-au-Prince; Haiti; France,city / area,
38,,,,,0:31:01,0:32:55,France,,country,
39,1,36,,,0:32:55,0:33:30,_end,none,,
40,1,37,,,0:33:30,0:33:48,_end,none,,
41,1,38,,,0:33:48,0:36:08,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,
42,1,39,,,0:36:08,0:36:23,"Montreal, Canada",Montreal; Canada,city / area,
43,1,40,,,0:36:23,0:37:10,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,
44,1,41,,,0:37:10,0:37:43,Haiti,Haiti,country,
45,1,42,,,0:37:43,0:37:53,_end,none,,
46,1,43,,,0:37:53,0:42:07,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,
47,1,44,,,0:42:07,0:43:50,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti; Quebec; Canada,city / area,
48,,,,,0:42:07,0:43:50,"Quebec, Canada",,region,
49,1,45,,,0:43:50,0:44:45,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,
50,1,46,,,0:44:45,0:44:51,_end,none,,
51,1,47,,,0:44:51,0:46:54,Haiti,Haiti,country,
52,1,48,,,0:46:54,0:47:24,Haiti,Haiti,country,
53,1,49,,,0:47:24,0:52:11,Haiti,Haiti,country,
54,1,50,,,0:52:11,0:52:31,_end,unknown,,
55,1,51,,,0:52:31,0:56:20,_end,none,,
56,1,52,,,0:56:20,0:57:54,_end,none,,
57,1,53,,,0:57:54,0:58:08,_end,none,,
58,1,54,,,0:58:08,1:01:15,_end,none,,
59,1,55,,,1:01:15,1:01:41,_end,none,,
60,1,56,,,1:01:41,1:06:14,_end,none,,
61,1,57,,,1:06:14,1:09:30,_end,none,,
62,1,58,,,1:09:30,1:09:52,_end,none,,
63,1,59,,,1:09:52,1:16:23,_end,none,,
64,1,60,,,1:16:23,1:17:52,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Canada,local,
65,1,61,,,1:17:52,1:18:39,"Montreal, Canada",Montreal; Canada,city / area,
66,1,62,,,1:18:39,1:19:33,_end,none,,
67,1,63,,,1:19:33,1:20:50,_end,none,,
68,1,64,,,1:20:50,1:22:07,_end,unknown,,
69,1,65,,,1:22:07,1:23:09,_end,none,,
70,1,66,,,1:23:09,1:23:20,_end,none,,
71,1,67,,,1:23:20,1:27:23,_end,none,,
